,0
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,1
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,1
122,0
123,0
124,1
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,1
136,0
137,1
138,1
139,1
140,1
141,0
142,1
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,1
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,1
179,0
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,1
223,0
224,0
225,0
226,0
227,1
228,1
229,1
230,1
231,0
232,0
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,1
254,1
255,0
256,0
257,1
258,0
259,1
260,1
261,0
262,0
263,0
264,0
265,1
266,1
267,1
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,1
288,1
289,1
290,0
291,1
292,1
293,0
294,1
295,1
296,0
297,1
298,1
299,1
300,0
301,1
302,1
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,1
311,1
312,0
313,0
314,1
315,0
316,1
317,0
318,1
319,0
320,0
321,0
322,0
323,1
324,1
325,1
326,0
327,1
328,1
329,0
330,1
331,0
332,1
333,0
334,0
335,1
336,1
337,0
338,1
339,0
340,1
341,0
342,0
343,1
344,0
345,0
346,0
347,1
348,1
349,0
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,0
360,0
361,0
362,1
363,1
364,0
365,1
366,1
367,1
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,1
377,1
378,0
379,1
380,0
381,1
382,1
383,1
384,1
385,0
386,0
387,0
388,0
389,1
390,0
391,0
392,0
393,0
394,1
395,0
396,0
397,0
398,1
399,1
400,1
401,1
402,0
403,0
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,0
413,1
414,1
415,0
416,1
417,0
418,1
419,1
420,1
421,0
422,1
423,0
424,1
425,0
426,0
427,0
428,1
429,1
430,0
431,0
432,0
433,0
434,0
435,1
436,1
437,0
438,0
439,1
440,1
441,0
442,0
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,1
455,1
456,0
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,1
465,1
466,0
467,0
468,1
469,0
470,0
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,0
487,0
488,1
489,0
490,1
491,0
492,0
493,1
494,0
495,1
496,1
497,1
498,0
499,1
500,1
501,1
502,0
503,0
504,0
505,1
506,0
507,0
508,0
509,1
510,1
511,0
512,0
513,0
514,1
515,0
516,0
517,1
518,0
519,1
520,1
521,1
522,1
523,1
524,0
525,0
526,1
527,1
528,1
529,0
530,1
531,1
532,1
533,0
534,1
535,1
536,1
537,0
538,0
539,1
540,0
541,1
542,1
543,1
544,1
545,1
546,0
547,1
548,1
549,0
550,1
551,1
552,0
553,1
554,1
555,1
556,0
557,1
558,0
559,1
560,0
561,1
562,0
563,1
564,0
565,0
566,0
567,0
568,1
569,1
570,0
571,0
572,0
573,1
574,1
575,0
576,1
577,0
578,0
579,0
580,1
581,1
582,0
583,0
584,1
585,1
586,0
587,1
588,1
589,0
590,1
591,0
592,1
593,0
594,1
595,1
596,0
597,1
598,1
599,0
600,0
601,0
602,1
603,0
604,1
605,0
606,1
607,1
608,1
609,1
610,0
611,0
612,0
613,1
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,1
623,0
624,0
625,1
626,0
627,0
628,0
629,1
630,1
631,1
632,0
633,1
634,0
635,1
636,0
637,1
638,0
639,1
640,1
641,1
642,1
643,1
644,0
645,1
646,0
647,0
648,0
649,0
650,1
651,0
652,1
653,0
654,0
655,0
656,1
657,0
658,1
659,1
660,0
661,0
662,0
663,0
664,1
665,0
666,1
667,0
668,0
669,1
670,1
671,0
672,1
673,0
674,1
675,0
676,0
677,0
678,1
679,1
680,0
681,0
682,0
683,1
684,0
685,1
686,0
687,0
688,1
689,0
690,0
691,1
692,1
693,0
694,1
695,1
696,1
697,0
698,0
699,0
700,0
701,0
702,1
703,0
704,0
705,0
706,1
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,1
717,0
718,1
719,0
720,1
721,0
722,1
723,1
724,1
725,0
726,1
727,1
728,1
729,0
730,0
731,1
732,0
733,0
734,1
735,1
736,1
737,0
738,0
739,0
740,0
741,1
742,0
743,1
744,1
745,0
746,1
747,1
748,0
749,1
750,1
751,1
752,1
753,1
754,0
755,0
756,1
757,1
758,0
759,1
760,1
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,0
770,0
771,0
772,1
773,1
774,0
775,1
776,1
777,0
778,1
779,0
780,0
781,1
782,1
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,1
792,1
793,0
794,0
795,0
796,0
797,1
798,0
799,0
800,0
801,0
802,1
803,1
804,0
805,0
806,0
807,1
808,0
809,1
810,0
811,0
812,0
813,0
814,0
815,1
816,1
817,1
818,1
819,0
820,1
821,1
822,1
823,0
824,1
825,1
826,0
827,0
828,1
829,0
830,0
831,1
832,0
833,1
834,1
835,1
836,1
837,0
838,0
839,0
840,1
841,0
842,0
843,0
844,1
845,0
846,1
847,0
848,0
849,0
850,1
851,0
852,1
853,1
854,0
855,0
856,0
857,1
858,0
859,1
860,0
861,0
862,0
863,1
864,0
865,0
866,1
867,0
868,1
869,1
870,0
871,0
872,1
873,0
874,0
875,0
876,0
877,1
878,1
879,0
880,0
881,1
882,1
883,0
884,0
885,1
886,0
887,1
888,0
889,0
890,1
891,0
892,0
893,0
894,0
895,0
896,1
897,0
898,0
899,0
900,1
901,1
902,0
903,0
904,0
905,1
906,0
907,0
908,1
909,0
910,1
911,0
912,0
913,1
914,0
915,0
916,0
917,1
918,1
919,1
920,0
921,0
922,1
923,0
924,0
925,0
926,1
927,1
928,0
929,1
930,1
931,0
932,1
933,1
934,0
935,0
936,1
937,0
938,0
939,0
940,0
941,0
942,0
943,1
944,0
945,0
946,0
947,0
948,1
949,0
950,0
951,1
952,1
953,1
954,0
955,0
956,0
957,1
958,0
959,0
960,1
961,0
962,1
963,0
964,1
965,1
966,1
967,0
968,0
969,1
970,0
971,0
972,1
973,1
974,1
975,0
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,0
988,1
989,0
990,0
991,0
992,0
993,0
994,0
995,1
996,1
997,0
998,0
999,1
1000,0
1001,1
1002,0
1003,0
1004,0
1005,0
1006,1
1007,1
1008,1
1009,0
1010,1
1011,0
1012,1
1013,1
1014,0
1015,0
1016,1
1017,1
1018,1
1019,0
1020,0
1021,1
1022,0
1023,0
1024,0
1025,0
1026,1
1027,1
1028,1
1029,0
1030,0
1031,1
1032,0
1033,1
1034,0
1035,0
1036,1
1037,1
1038,0
1039,1
1040,1
1041,1
1042,0
1043,1
1044,0
1045,0
1046,1
1047,0
1048,0
1049,1
1050,0
1051,0
1052,1
1053,1
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,1
1063,0
1064,1
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,1
1072,1
1073,1
1074,1
1075,0
1076,1
1077,1
1078,1
1079,0
1080,0
1081,0
1082,1
1083,1
1084,1
1085,1
1086,1
1087,0
1088,1
1089,0
1090,1
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,1
1102,1
1103,0
1104,0
1105,0
1106,1
1107,1
1108,1
1109,0
1110,1
1111,0
1112,0
1113,1
1114,0
1115,1
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,1
1126,0
1127,1
1128,1
1129,0
1130,1
1131,0
1132,1
1133,0
1134,1
1135,0
1136,1
1137,1
1138,1
1139,0
1140,0
1141,1
1142,1
1143,0
1144,0
1145,1
1146,0
1147,1
1148,0
1149,0
1150,1
1151,1
1152,0
1153,0
1154,0
1155,0
1156,0
1157,1
1158,0
1159,0
1160,0
1161,0
1162,0
1163,1
1164,1
1165,0
1166,0
1167,0
1168,0
1169,1
1170,1
1171,0
1172,0
1173,0
1174,0
1175,1
1176,0
1177,0
1178,0
1179,1
1180,0
1181,0
1182,1
1183,0
1184,0
1185,0
1186,1
1187,0
1188,0
1189,0
1190,0
1191,0
1192,1
1193,1
1194,1
1195,0
1196,0
1197,0
1198,0
1199,0
1200,1
1201,0
1202,0
1203,0
1204,1
1205,0
1206,1
1207,1
1208,0
1209,0
1210,1
1211,1
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,1
1220,0
1221,1
1222,0
1223,1
1224,1
1225,1
1226,1
1227,1
1228,0
1229,1
1230,0
